fall,winter,spring,summer,,,,,,
67,187,304,457,,,,,,
273,473,797,1064,,,,,,
796,774,1055,1374,,,,,,
1185,365,573,624,,,,,,
538,146,496,458,,,,,,
345,153,614,451,,,,,,
330,192,695,578,,,,,,
439,216,720,504,,,,,,
430,192,718,501,,,,,,
466,222,854,614,,,,,,
612,400,1071,923,,,,,,
845,712,1820,1735,,,,,,
1192,600,1564,1443,,,,,,
988,347,915,965,,,,,,
555,238,526,730,,,,,,
455,149,404,530,,,,,,
297,101,321,349,,,,,,
247,56,147,178,,,,,,
122,19,88,79,,,,,,
85,5,17,18,,,,,,
45,4,12,14,,,,,,
23,1,3,7,,,,,,
14,4,9,15,,,,,,
13,53,103,128,,,,,,
41,231,360,451,,,,,,
138,595,964,1055,,,,,,
419,1011,1375,1239,,,,,,
749,483,664,628,,,,,,
602,227,551,433,,,,,,
477,258,649,474,,,,,,
588,329,786,549,,,,,,
665,299,806,547,,,,,,
700,309,753,525,,,,,,
784,352,819,625,,,,,,
776,532,1076,972,,,,,,
824,987,1890,1647,,,,,,
934,783,1641,1348,,,,,,
678,259,1060,897,,,,,,
450,172,666,781,,,,,,
273,152,541,520,,,,,,
237,124,443,345,,,,,,
215,78,95,188,,,,,,
118,30,32,92,,,,,,
88,14,23,35,,,,,,
47,4,27,15,,,,,,
44,5,20,4,,,,,,
14,9,12,18,,,,,,
12,54,98,124,,,,,,
18,237,369,427,,,,,,
38,663,939,999,,,,,,
113,1078,1309,1191,,,,,,
252,473,632,536,,,,,,
366,234,335,359,,,,,,
582,279,502,437,,,,,,
687,366,632,528,,,,,,
730,391,615,480,,,,,,
833,362,612,471,,,,,,
958,495,732,571,,,,,,
835,682,1096,842,,,,,,
791,1170,1836,1450,,,,,,
566,967,1499,1264,,,,,,
375,596,1131,946,,,,,,
304,389,665,735,,,,,,
210,301,442,505,,,,,,
182,181,353,401,,,,,,
177,111,177,229,,,,,,
105,60,73,95,,,,,,
71,43,29,58,,,,,,
71,13,17,34,,,,,,
47,4,11,9,,,,,,
21,10,14,18,,,,,,
12,67,91,106,,,,,,
5,194,307,362,,,,,,
25,603,941,822,,,,,,
113,1054,1398,1161,,,,,,
164,505,676,548,,,,,,
365,243,542,424,,,,,,
546,301,657,479,,,,,,
647,384,791,613,,,,,,
797,407,773,602,,,,,,
878,432,778,519,,,,,,
881,487,859,718,,,,,,
983,687,1226,616,,,,,,
795,898,1858,637,,,,,,
576,635,1631,417,,,,,,
397,409,1049,499,,,,,,
282,197,697,518,,,,,,
210,169,501,431,,,,,,
141,138,351,352,,,,,,
84,91,164,274,,,,,,
44,64,80,213,,,,,,
16,55,30,137,,,,,,
8,37,21,86,,,,,,
7,12,3,48,,,,,,
0,4,15,24,,,,,,
9,5,67,24,,,,,,
79,21,245,79,,,,,,
259,44,757,210,,,,,,
805,75,1156,410,,,,,,
1077,125,769,654,,,,,,
471,144,638,918,,,,,,
316,175,871,1037,,,,,,
368,135,991,1120,,,,,,
408,103,1054,1080,,,,,,
382,145,1240,1121,,,,,,
376,202,1256,1049,,,,,,
474,113,1442,1174,,,,,,
720,76,1655,1061,,,,,,
1146,63,1206,982,,,,,,
905,51,1002,921,,,,,,
538,42,600,782,,,,,,
385,54,391,582,,,,,,
266,57,337,410,,,,,,
134,62,212,347,,,,,,
61,52,175,270,,,,,,
26,35,107,167,,,,,,
9,22,48,102,,,,,,
3,13,33,72,,,,,,
2,6,17,26,,,,,,
6,7,25,27,,,,,,
80,15,60,69,,,,,,
319,38,141,146,,,,,,
905,94,346,382,,,,,,
1228,202,595,591,,,,,,
562,351,951,874,,,,,,
301,405,1215,972,,,,,,
345,519,1482,1058,,,,,,
464,643,1486,1123,,,,,,
418,577,1463,1090,,,,,,
403,615,1595,1097,,,,,,
528,521,1537,1055,,,,,,
884,351,1431,986,,,,,,
1302,260,1219,901,,,,,,
1005,166,1012,839,,,,,,
586,164,733,767,,,,,,
351,130,593,415,,,,,,
364,95,342,377,,,,,,
208,67,290,178,,,,,,
96,43,223,66,,,,,,
32,26,124,37,,,,,,
17,9,96,21,,,,,,
8,13,42,5,,,,,,
1,4,18,13,,,,,,
8,14,36,120,,,,,,
95,40,82,413,,,,,,
326,111,123,895,,,,,,
942,200,310,1083,,,,,,
1237,220,599,555,,,,,,
610,243,894,402,,,,,,
297,330,1100,452,,,,,,
370,377,1305,524,,,,,,
425,345,1134,457,,,,,,
434,390,1049,298,,,,,,
367,375,1078,464,,,,,,
322,382,1086,928,,,,,,
654,375,1028,1647,,,,,,
1181,341,809,1252,,,,,,
978,222,741,1031,,,,,,
630,177,493,795,,,,,,
446,119,394,540,,,,,,
320,103,239,319,,,,,,
238,26,126,161,,,,,,
108,16,73,64,,,,,,
29,8,26,25,,,,,,
11,7,16,21,,,,,,
12,0,12,6,,,,,,
4,9,14,17,,,,,,
10,66,77,134,,,,,,
77,228,257,1076,,,,,,
300,552,620,1309,,,,,,
899,870,822,535,,,,,,
1197,283,528,424,,,,,,
575,56,364,480,,,,,,
297,139,183,547,,,,,,
392,190,107,518,,,,,,
471,153,301,455,,,,,,
435,81,460,610,,,,,,
430,115,608,893,,,,,,
555,339,852,1161,,,,,,
769,712,1552,1287,,,,,,
1288,685,1255,1059,,,,,,
1089,420,880,790,,,,,,
580,300,565,549,,,,,,
404,188,373,315,,,,,,
346,100,236,194,,,,,,
211,57,97,63,,,,,,
114,16,55,27,,,,,,
59,8,19,13,,,,,,
28,6,9,6,,,,,,
9,6,10,16,,,,,,
5,4,14,136,,,,,,
6,58,70,433,,,,,,
64,211,383,1027,,,,,,
245,561,931,1326,,,,,,
789,923,1237,579,,,,,,
1160,421,595,379,,,,,,
504,250,454,391,,,,,,
354,267,496,515,,,,,,
431,365,654,493,,,,,,
588,328,678,468,,,,,,
598,287,632,514,,,,,,
651,350,739,886,,,,,,
732,475,1072,1584,,,,,,
1084,869,1988,1382,,,,,,
1324,737,1557,1035,,,,,,
905,481,1019,831,,,,,,
566,307,526,548,,,,,,
372,225,320,339,,,,,,
307,129,206,175,,,,,,
262,61,88,101,,,,,,
210,34,43,19,,,,,,
172,14,8,19,,,,,,
85,10,7,14,,,,,,
63,0,7,19,,,,,,
25,5,9,117,,,,,,
14,49,89,390,,,,,,
15,166,274,956,,,,,,
51,462,770,1224,,,,,,
115,731,1223,593,,,,,,
284,432,650,380,,,,,,
511,248,340,423,,,,,,
687,290,469,504,,,,,,
880,399,541,455,,,,,,
1070,369,516,466,,,,,,
1147,363,475,534,,,,,,
1141,461,595,850,,,,,,
686,524,851,1490,,,,,,
387,793,1574,1281,,,,,,
102,707,1224,933,,,,,,
140,469,754,745,,,,,,
166,295,533,577,,,,,,
162,271,343,362,,,,,,
133,191,303,221,,,,,,
121,93,95,116,,,,,,
90,79,49,53,,,,,,
75,52,14,24,,,,,,
53,31,7,13,,,,,,
34,19,5,17,,,,,,
13,18,9,98,,,,,,
10,59,85,392,,,,,,
5,95,341,823,,,,,,
11,178,842,1145,,,,,,
55,282,573,590,,,,,,
115,269,470,458,,,,,,
241,361,382,524,,,,,,
325,409,478,616,,,,,,
372,392,677,604,,,,,,
370,443,695,598,,,,,,
396,418,613,756,,,,,,
312,357,802,1025,,,,,,
345,409,1053,1360,,,,,,
330,399,1715,1128,,,,,,
248,336,1410,836,,,,,,
172,291,984,643,,,,,,
136,232,317,476,,,,,,
94,177,321,350,,,,,,
57,139,268,294,,,,,,
40,121,163,183,,,,,,
17,97,68,127,,,,,,
14,62,42,104,,,,,,
7,36,15,34,,,,,,
1,9,9,24,,,,,,
1,8,9,39,,,,,,
7,20,71,84,,,,,,
60,49,264,210,,,,,,
210,159,675,392,,,,,,
591,533,1114,688,,,,,,
870,834,667,846,,,,,,
417,660,487,973,,,,,,
210,527,595,1019,,,,,,
246,588,741,933,,,,,,
262,549,754,615,,,,,,
265,713,714,531,,,,,,
252,817,847,856,,,,,,
336,774,1219,739,,,,,,
558,525,1440,270,,,,,,
924,353,1255,299,,,,,,
662,241,862,422,,,,,,
375,188,569,304,,,,,,
265,158,435,167,,,,,,
160,140,392,169,,,,,,
90,117,297,147,,,,,,
43,97,196,105,,,,,,
17,78,118,71,,,,,,
10,40,94,38,,,,,,
4,17,40,12,,,,,,
3,4,11,18,,,,,,
8,4,14,70,,,,,,
75,12,35,166,,,,,,
210,40,115,320,,,,,,
643,96,284,629,,,,,,
1002,221,415,914,,,,,,
494,344,308,953,,,,,,
279,450,329,1094,,,,,,
285,537,241,993,,,,,,
367,555,262,876,,,,,,
299,447,221,985,,,,,,
351,153,273,748,,,,,,
395,229,226,868,,,,,,
621,199,183,435,,,,,,
966,155,206,495,,,,,,
684,140,215,522,,,,,,
395,77,206,329,,,,,,
217,78,203,241,,,,,,
152,69,149,21,,,,,,
104,24,141,34,,,,,,
45,19,123,21,,,,,,
23,7,109,17,,,,,,
11,4,72,3,,,,,,
11,4,38,16,,,,,,
3,3,14,103,,,,,,
9,38,19,340,,,,,,
56,124,29,817,,,,,,
160,220,78,1103,,,,,,
438,287,250,601,,,,,,
790,141,411,414,,,,,,
452,56,719,458,,,,,,
261,54,926,541,,,,,,
333,57,1000,516,,,,,,
461,40,998,561,,,,,,
533,43,1080,620,,,,,,
616,88,1018,995,,,,,,
696,173,1029,1478,,,,,,
613,450,854,1282,,,,,,
452,427,650,970,,,,,,
334,272,515,725,,,,,,
243,174,303,470,,,,,,
158,125,250,296,,,,,,
109,70,171,138,,,,,,
88,29,88,86,,,,,,
53,13,31,40,,,,,,
34,10,16,11,,,,,,
27,2,3,10,,,,,,
30,0,6,22,,,,,,
11,5,4,121,,,,,,
5,56,73,456,,,,,,
14,223,223,1049,,,,,,
22,606,591,1270,,,,,,
76,951,768,680,,,,,,
110,427,243,433,,,,,,
166,218,213,469,,,,,,
250,241,274,619,,,,,,
376,253,262,663,,,,,,
330,268,190,612,,,,,,
349,224,102,745,,,,,,
316,328,153,1052,,,,,,
268,560,252,1866,,,,,,
260,933,643,1668,,,,,,
174,835,672,1116,,,,,,
109,494,395,803,,,,,,
97,333,237,583,,,,,,
93,219,150,404,,,,,,
79,132,130,196,,,,,,
63,58,53,97,,,,,,
69,17,18,48,,,,,,
49,7,13,28,,,,,,
19,5,6,3,,,,,,
3,0,2,17,,,,,,
3,9,9,139,,,,,,
4,85,72,475,,,,,,
15,261,297,1106,,,,,,
45,737,623,1349,,,,,,
116,1083,945,734,,,,,,
190,444,496,458,,,,,,
259,194,214,593,,,,,,
325,273,134,710,,,,,,
414,342,178,646,,,,,,
503,357,128,629,,,,,,
534,363,151,735,,,,,,
588,486,276,1069,,,,,,
631,699,555,1866,,,,,,
623,1231,1151,1640,,,,,,
406,949,1044,1077,,,,,,
291,598,663,851,,,,,,
255,353,405,597,,,,,,
224,270,312,454,,,,,,
133,176,188,228,,,,,,
117,84,86,118,,,,,,
84,19,24,52,,,,,,
73,10,18,31,,,,,,
46,9,4,2,,,,,,
32,6,2,16,,,,,,
19,10,11,121,,,,,,
5,58,84,406,,,,,,
11,244,357,972,,,,,,
17,697,845,1376,,,,,,
54,1131,1151,668,,,,,,
133,499,542,447,,,,,,
243,217,312,578,,,,,,
417,279,395,642,,,,,,
473,360,525,640,,,,,,
480,314,518,644,,,,,,
494,307,428,771,,,,,,
496,373,588,1046,,,,,,
469,520,910,1739,,,,,,
387,974,1604,1515,,,,,,
283,784,1330,1047,,,,,,
218,483,875,763,,,,,,
190,346,642,467,,,,,,
151,197,409,366,,,,,,
134,138,261,225,,,,,,
95,73,134,98,,,,,,
71,25,40,53,,,,,,
58,19,23,55,,,,,,
47,2,22,8,,,,,,
30,1,9,20,,,,,,
11,7,10,89,,,,,,
6,63,81,346,,,,,,
9,182,342,825,,,,,,
15,597,1023,1198,,,,,,
35,954,1465,657,,,,,,
122,474,726,397,,,,,,
194,230,450,330,,,,,,
335,249,439,105,,,,,,
429,333,566,146,,,,,,
484,323,570,314,,,,,,
499,251,591,91,,,,,,
470,375,729,82,,,,,,
522,556,991,210,,,,,,
478,860,1714,182,,,,,,
329,582,1483,192,,,,,,
245,307,919,168,,,,,,
197,185,629,91,,,,,,
139,124,478,41,,,,,,
91,120,304,28,,,,,,
74,68,183,10,,,,,,
48,59,87,5,,,,,,
26,45,46,37,,,,,,
7,30,35,23,,,,,,
6,16,7,11,,,,,,
2,12,13,21,,,,,,
4,5,85,56,,,,,,
65,14,310,136,,,,,,
236,64,819,248,,,,,,
671,139,1231,444,,,,,,
1039,257,670,620,,,,,,
464,337,502,758,,,,,,
227,391,662,782,,,,,,
230,484,822,496,,,,,,
317,493,758,600,,,,,,
347,546,725,620,,,,,,
311,555,922,584,,,,,,
361,555,1178,824,,,,,,
631,439,1628,805,,,,,,
1061,342,1202,726,,,,,,
837,270,892,674,,,,,,
477,149,613,482,,,,,,
318,139,478,460,,,,,,
206,134,419,343,,,,,,
116,80,287,226,,,,,,
68,70,244,173,,,,,,
22,61,155,112,,,,,,
15,48,69,75,,,,,,
8,26,46,21,,,,,,
0,9,14,39,,,,,,
10,6,38,77,,,,,,
47,9,77,162,,,,,,
220,33,236,378,,,,,,
565,97,412,663,,,,,,
844,165,703,965,,,,,,
433,342,941,1281,,,,,,
104,382,1082,1414,,,,,,
153,638,1193,1392,,,,,,
164,530,1095,1340,,,,,,
120,480,1159,1264,,,,,,
182,584,1195,1298,,,,,,
235,587,1193,1251,,,,,,
427,387,991,1022,,,,,,
813,251,884,912,,,,,,
721,199,774,734,,,,,,
467,147,630,433,,,,,,
317,102,446,380,,,,,,
231,65,423,155,,,,,,
157,32,412,66,,,,,,
76,15,223,28,,,,,,
31,12,141,11,,,,,,
9,5,136,3,,,,,,
8,0,55,18,,,,,,
2,5,32,96,,,,,,
7,49,34,346,,,,,,
91,153,67,855,,,,,,
196,385,137,1024,,,,,,
519,698,344,622,,,,,,
481,316,560,472,,,,,,
155,151,843,568,,,,,,
119,147,1118,707,,,,,,
163,183,1274,646,,,,,,
254,191,1287,572,,,,,,
241,148,1110,714,,,,,,
249,210,1032,1077,,,,,,
362,374,1050,1822,,,,,,
578,793,1043,1440,,,,,,
1047,660,921,1092,,,,,,
657,425,819,763,,,,,,
444,251,574,522,,,,,,
303,145,413,324,,,,,,
88,71,256,148,,,,,,
94,33,144,69,,,,,,
72,20,59,24,,,,,,
94,7,24,8,,,,,,
46,5,20,4,,,,,,
29,4,6,22,,,,,,
13,7,16,127,,,,,,
12,58,97,435,,,,,,
100,226,330,992,,,,,,
282,572,800,1353,,,,,,
756,936,979,663,,,,,,
1199,447,541,401,,,,,,
693,239,357,495,,,,,,
451,224,390,588,,,,,,
590,310,492,533,,,,,,
801,247,526,527,,,,,,
740,234,487,678,,,,,,
857,380,570,1021,,,,,,
1107,597,926,1011,,,,,,
1246,1060,1620,848,,,,,,
1304,875,1236,909,,,,,,
1023,498,588,748,,,,,,
693,365,336,459,,,,,,
425,249,269,308,,,,,,
313,151,183,179,,,,,,
234,53,130,78,,,,,,
168,27,63,38,,,,,,
137,10,19,37,,,,,,
91,9,19,6,,,,,,
66,3,21,24,,,,,,
33,6,11,128,,,,,,
4,92,97,434,,,,,,
12,250,441,991,,,,,,
14,683,1110,1336,,,,,,
56,1119,1279,661,,,,,,
108,485,569,400,,,,,,
92,230,334,482,,,,,,
110,271,437,594,,,,,,
123,297,549,560,,,,,,
249,281,545,596,,,,,,
271,225,533,630,,,,,,
184,323,688,978,,,,,,
219,589,1009,1729,,,,,,
346,1139,1810,1435,,,,,,
396,824,1420,1040,,,,,,
412,517,886,767,,,,,,
381,343,611,552,,,,,,
261,237,428,385,,,,,,
246,187,291,198,,,,,,
184,84,142,114,,,,,,
180,25,65,45,,,,,,
108,13,32,26,,,,,,
79,2,28,5,,,,,,
52,5,8,12,,,,,,
22,8,12,125,,,,,,
7,55,102,408,,,,,,
17,251,399,955,,,,,,
40,704,1095,1296,,,,,,
92,1109,1270,616,,,,,,
266,478,634,409,,,,,,
538,199,388,497,,,,,,
847,226,432,643,,,,,,
1098,301,564,572,,,,,,
1255,309,538,554,,,,,,
1354,251,446,736,,,,,,
1451,369,556,981,,,,,,
1360,553,1032,1678,,,,,,
1307,954,1713,885,,,,,,
1254,758,1400,639,,,,,,
1181,415,859,584,,,,,,
1001,280,552,457,,,,,,
680,200,379,340,,,,,,
597,125,315,219,,,,,,
447,59,112,112,,,,,,
318,50,40,44,,,,,,
198,16,18,44,,,,,,
99,5,8,13,,,,,,
70,1,7,23,,,,,,
33,6,18,107,,,,,,
15,54,85,328,,,,,,
23,187,361,772,,,,,,
40,530,929,1228,,,,,,
99,916,1299,680,,,,,,
263,472,659,542,,,,,,
611,221,373,669,,,,,,
873,265,487,747,,,,,,
1135,301,654,693,,,,,,
1215,305,571,708,,,,,,
1293,268,498,864,,,,,,
1262,360,597,1183,,,,,,
1168,487,968,1455,,,,,,
1164,776,1572,1207,,,,,,
1106,548,1242,930,,,,,,
1027,306,768,716,,,,,,
733,182,344,502,,,,,,
523,134,183,402,,,,,,
317,87,115,319,,,,,,
212,66,55,206,,,,,,
101,49,19,97,,,,,,
55,33,18,92,,,,,,
14,6,18,39,,,,,,
10,9,8,11,,,,,,
7,6,6,29,,,,,,
14,9,11,77,,,,,,
96,19,51,192,,,,,,
342,68,123,361,,,,,,
979,141,111,629,,,,,,
1203,251,105,973,,,,,,
568,260,197,1142,,,,,,
431,373,294,1297,,,,,,
458,413,385,1339,,,,,,
608,447,375,1461,,,,,,
546,491,456,1419,,,,,,
512,478,584,1330,,,,,,
578,466,878,1288,,,,,,
1041,371,1189,1095,,,,,,
1719,259,887,985,,,,,,
1013,201,652,841,,,,,,
240,166,407,618,,,,,,
317,105,279,454,,,,,,
331,113,93,371,,,,,,
179,73,117,219,,,,,,
98,57,127,150,,,,,,
57,50,73,102,,,,,,
13,37,71,52,,,,,,
5,17,47,22,,,,,,
7,6,14,16,,,,,,
14,8,7,52,,,,,,
96,16,47,135,,,,,,
384,50,129,271,,,,,,
958,112,263,574,,,,,,
1304,180,411,839,,,,,,
538,355,418,1124,,,,,,
256,426,321,1215,,,,,,
129,505,328,1182,,,,,,
98,516,399,1238,,,,,,
93,518,474,1341,,,,,,
103,562,557,1241,,,,,,
82,521,552,1096,,,,,,
217,524,311,1000,,,,,,
475,335,253,828,,,,,,
416,143,281,606,,,,,,
290,105,231,387,,,,,,
150,90,189,313,,,,,,
120,256,166,156,,,,,,
121,100,173,94,,,,,,
70,22,114,31,,,,,,
36,10,67,6,,,,,,
31,16,41,9,,,,,,
12,8,20,15,,,,,,
5,6,8,59,,,,,,
18,56,8,176,,,,,,
120,193,34,248,,,,,,
406,573,79,523,,,,,,
1083,1161,233,365,,,,,,
1297,449,411,93,,,,,,
631,203,602,68,,,,,,
398,264,780,46,,,,,,
509,311,879,42,,,,,,
644,331,875,51,,,,,,
599,304,949,168,,,,,,
531,408,921,571,,,,,,
666,644,831,1074,,,,,,
1020,1204,840,710,,,,,,
1792,933,595,490,,,,,,
1558,539,421,395,,,,,,
1024,334,348,324,,,,,,
630,233,293,237,,,,,,
453,145,146,100,,,,,,
390,52,118,50,,,,,,
197,14,59,12,,,,,,
113,9,15,10,,,,,,
44,0,9,2,,,,,,
31,3,1,16,,,,,,
4,5,18,101,,,,,,
9,69,80,347,,,,,,
93,292,308,877,,,,,,
372,710,761,1315,,,,,,
918,1194,1034,599,,,,,,
1495,467,481,494,,,,,,
652,265,346,534,,,,,,
503,309,402,634,,,,,,
608,396,522,667,,,,,,
691,413,542,606,,,,,,
767,321,513,791,,,,,,
743,462,608,1136,,,,,,
877,733,914,1912,,,,,,
1164,1441,1712,1628,,,,,,
1690,1048,1249,1030,,,,,,
1380,652,755,792,,,,,,
881,405,501,566,,,,,,
557,308,312,435,,,,,,
483,203,190,188,,,,,,
360,77,80,108,,,,,,
256,30,54,25,,,,,,
179,17,18,10,,,,,,
118,5,9,7,,,,,,
118,6,2,15,,,,,,
31,8,14,116,,,,,,
11,98,83,390,,,,,,
33,321,356,972,,,,,,
58,863,873,1344,,,,,,
150,1252,1291,685,,,,,,
355,490,624,501,,,,,,
646,267,369,556,,,,,,
948,339,383,667,,,,,,
1047,502,522,672,,,,,,
1199,497,526,645,,,,,,
1218,455,554,729,,,,,,
1308,477,626,1148,,,,,,
1325,817,915,1881,,,,,,
1243,1509,1688,1483,,,,,,
1265,1094,1307,1071,,,,,,
1115,625,808,785,,,,,,
907,418,594,554,,,,,,
535,285,403,392,,,,,,
417,157,230,206,,,,,,
286,87,120,97,,,,,,
250,23,43,24,,,,,,
187,7,27,19,,,,,,
129,5,6,12,,,,,,
91,0,6,15,,,,,,
43,4,11,105,,,,,,
12,35,84,352,,,,,,
39,164,381,924,,,,,,
66,449,918,1411,,,,,,
128,835,1252,674,,,,,,
318,413,587,496,,,,,,
560,179,384,541,,,,,,
846,162,439,674,,,,,,
1020,221,641,701,,,,,,
1193,191,635,615,,,,,,
1103,181,572,736,,,,,,
1051,206,683,1103,,,,,,
1173,370,1076,1810,,,,,,
1178,669,1787,1589,,,,,,
1062,538,1445,1054,,,,,,
878,295,954,698,,,,,,
773,165,555,524,,,,,,
490,135,425,409,,,,,,
329,81,457,196,,,,,,
218,41,161,114,,,,,,
122,19,54,67,,,,,,
68,10,25,23,,,,,,
24,8,18,10,,,,,,
9,1,10,10,,,,,,
5,5,8,95,,,,,,
9,34,80,312,,,,,,
95,159,338,769,,,,,,
383,411,663,1280,,,,,,
905,772,214,738,,,,,,
1267,394,78,495,,,,,,
526,193,50,657,,,,,,
358,202,46,754,,,,,,
473,324,57,794,,,,,,
569,287,51,752,,,,,,
590,250,56,879,,,,,,
607,343,125,1242,,,,,,
722,508,158,1522,,,,,,
1069,746,334,1083,,,,,,
1849,505,273,387,,,,,,
1534,303,300,117,,,,,,
964,170,257,146,,,,,,
595,131,222,45,,,,,,
394,104,132,98,,,,,,
251,95,98,87,,,,,,
135,52,41,78,,,,,,
63,47,45,48,,,,,,
30,30,26,20,,,,,,
22,21,2,10,,,,,,
4,9,20,27,,,,,,
23,7,71,75,,,,,,
119,19,299,178,,,,,,
421,74,700,359,,,,,,
1092,155,1014,545,,,,,,
1594,289,571,702,,,,,,
606,407,315,946,,,,,,
423,507,485,951,,,,,,
456,650,581,1039,,,,,,
621,622,566,1120,,,,,,
556,650,593,1145,,,,,,
546,656,545,1088,,,,,,
674,613,312,1083,,,,,,
1027,566,381,864,,,,,,
1942,459,211,667,,,,,,
1692,292,131,102,,,,,,
1058,207,112,210,,,,,,
613,215,82,187,,,,,,
466,138,67,161,,,,,,
312,136,43,138,,,,,,
137,102,23,98,,,,,,
63,91,19,70,,,,,,
23,61,10,34,,,,,,
12,30,3,17,,,,,,
5,15,0,26,,,,,,
10,10,2,64,,,,,,
108,17,20,146,,,,,,
232,48,98,285,,,,,,
530,115,215,623,,,,,,
843,196,376,865,,,,,,
551,231,478,1035,,,,,,
351,177,591,1276,,,,,,
415,334,693,1239,,,,,,
576,386,755,1243,,,,,,
548,549,735,1155,,,,,,
465,589,726,1190,,,,,,
575,459,715,1111,,,,,,
996,375,641,952,,,,,,
1781,313,577,909,,,,,,
1392,232,446,704,,,,,,
933,170,312,438,,,,,,
639,116,252,390,,,,,,
440,70,288,138,,,,,,
294,37,202,64,,,,,,
138,25,154,32,,,,,,
58,9,122,14,,,,,,
22,2,83,6,,,,,,
19,1,37,10,,,,,,
6,6,12,79,,,,,,
15,50,24,334,,,,,,
93,190,45,778,,,,,,
368,482,106,1101,,,,,,
950,754,222,645,,,,,,
1471,354,450,456,,,,,,
653,155,773,573,,,,,,
404,155,1001,726,,,,,,
442,206,1216,598,,,,,,
560,208,1179,591,,,,,,
603,232,1235,726,,,,,,
594,291,1232,1060,,,,,,
681,468,1154,1593,,,,,,
1044,893,1048,1301,,,,,,
1734,777,904,921,,,,,,
1342,461,692,614,,,,,,
812,290,491,495,,,,,,
591,193,345,304,,,,,,
424,111,228,159,,,,,,
213,51,113,76,,,,,,
120,22,60,34,,,,,,
72,10,25,21,,,,,,
33,2,15,8,,,,,,
25,3,6,22,,,,,,
7,5,15,106,,,,,,
18,65,86,375,,,,,,
97,251,361,726,,,,,,
330,636,807,567,,,,,,
872,957,975,177,,,,,,
1412,435,548,82,,,,,,
639,203,333,93,,,,,,
427,203,466,145,,,,,,
565,259,601,318,,,,,,
780,237,622,401,,,,,,
720,227,590,550,,,,,,
748,353,754,948,,,,,,
893,571,1071,1467,,,,,,
1225,1095,1673,1256,,,,,,
1695,828,1389,905,,,,,,
1427,431,858,668,,,,,,
932,251,529,499,,,,,,
558,208,384,351,,,,,,
414,114,271,158,,,,,,
378,43,141,61,,,,,,
337,26,40,28,,,,,,
211,8,9,20,,,,,,
155,8,5,8,,,,,,
73,3,4,13,,,,,,
39,6,10,114,,,,,,
16,67,102,393,,,,,,
28,259,389,893,,,,,,
60,651,1056,1319,,,,,,
185,1071,1367,627,,,,,,
442,490,552,464,,,,,,
723,219,401,528,,,,,,
974,258,475,713,,,,,,
1147,307,567,629,,,,,,
1365,318,588,493,,,,,,
1331,280,522,625,,,,,,
1249,320,719,980,,,,,,
1209,464,1061,1576,,,,,,
1347,966,1836,1439,,,,,,
1182,731,1375,992,,,,,,
1055,432,923,660,,,,,,
847,257,691,481,,,,,,
556,198,485,322,,,,,,
432,98,282,199,,,,,,
394,48,181,53,,,,,,
277,14,52,30,,,,,,
238,6,19,13,,,,,,
141,4,19,2,,,,,,
93,3,1,18,,,,,,
55,4,15,116,,,,,,
15,59,103,369,,,,,,
33,205,424,907,,,,,,
151,584,1003,1254,,,,,,
182,880,1253,602,,,,,,
363,467,603,400,,,,,,
634,185,382,518,,,,,,
951,226,438,651,,,,,,
1092,223,545,554,,,,,,
1038,223,486,520,,,,,,
1117,216,462,603,,,,,,
1049,270,556,935,,,,,,
1013,439,912,1599,,,,,,
1107,820,1570,1395,,,,,,
1100,684,1404,1004,,,,,,
912,327,934,733,,,,,,
724,251,682,456,,,,,,
439,183,427,346,,,,,,
314,94,314,223,,,,,,
252,60,175,86,,,,,,
156,25,62,56,,,,,,
71,24,43,39,,,,,,
32,5,11,8,,,,,,
13,1,9,20,,,,,,
4,7,11,89,,,,,,
17,51,103,308,,,,,,
113,155,400,748,,,,,,
355,451,989,1104,,,,,,
898,876,1246,679,,,,,,
1119,436,572,493,,,,,,
547,220,396,579,,,,,,
393,260,461,693,,,,,,
597,398,593,713,,,,,,
590,361,538,663,,,,,,
551,383,470,729,,,,,,
619,471,644,1020,,,,,,
994,680,868,1234,,,,,,
1833,881,1561,303,,,,,,
1446,597,1311,527,,,,,,
971,395,901,432,,,,,,
617,225,437,358,,,,,,
399,156,345,291,,,,,,
248,125,269,231,,,,,,
146,99,164,136,,,,,,
40,61,79,91,,,,,,
9,42,59,81,,,,,,
17,30,30,40,,,,,,
6,15,12,17,,,,,,
23,13,17,29,,,,,,
117,9,84,87,,,,,,
422,31,418,205,,,,,,
1145,70,1105,380,,,,,,
1417,146,1388,706,,,,,,
589,362,710,936,,,,,,
363,524,504,1039,,,,,,
455,785,624,1038,,,,,,
610,1016,682,1094,,,,,,
552,1095,696,1105,,,,,,
542,1303,600,985,,,,,,
729,1256,746,1011,,,,,,
1066,1217,1032,958,,,,,,
1961,993,1428,910,,,,,,
1543,565,1027,817,,,,,,
983,404,659,661,,,,,,
583,243,440,476,,,,,,
475,200,408,324,,,,,,
265,187,389,316,,,,,,
133,159,290,195,,,,,,
66,126,214,181,,,,,,
31,67,134,89,,,,,,
18,55,61,49,,,,,,
8,26,46,13,,,,,,
11,8,28,21,,,,,,
116,13,43,67,,,,,,
431,22,94,149,,,,,,
1110,55,187,328,,,,,,
1397,170,330,522,,,,,,
607,349,675,836,,,,,,
375,727,920,1034,,,,,,
468,948,1018,1056,,,,,,
