fall,winter,spring,summer,,,,,,
12,5,10,21,,,,,,
35,19,68,36,,,,,,
123,74,213,122,,,,,,
292,158,625,212,,,,,,
571,241,870,418,,,,,,
455,281,151,688,,,,,,
471,342,66,991,,,,,,
578,417,137,1160,,,,,,
721,453,258,1190,,,,,,
780,348,281,1172,,,,,,
890,404,301,1154,,,,,,
833,311,363,1229,,,,,,
912,263,492,938,,,,,,
1134,212,856,891,,,,,,
894,150,526,818,,,,,,
665,119,246,866,,,,,,
371,111,158,762,,,,,,
267,71,119,608,,,,,,
201,72,87,457,,,,,,
70,55,71,391,,,,,,
27,52,48,256,,,,,,
15,46,26,155,,,,,,
6,14,27,106,,,,,,
8,4,11,46,,,,,,
16,10,4,8,,,,,,
82,18,23,21,,,,,,
275,39,47,51,,,,,,
837,93,168,138,,,,,,
1106,165,238,293,,,,,,
530,256,312,592,,,,,,
333,319,403,737,,,,,,
393,370,455,863,,,,,,
504,389,453,964,,,,,,
472,337,425,1021,,,,,,
481,358,376,966,,,,,,
559,345,434,878,,,,,,
1000,263,392,841,,,,,,
1780,192,426,863,,,,,,
1322,186,252,781,,,,,,
694,123,200,729,,,,,,
426,91,123,673,,,,,,
324,62,126,417,,,,,,
251,28,82,269,,,,,,
88,14,65,167,,,,,,
28,8,42,61,,,,,,
13,4,34,37,,,,,,
6,3,0,10,,,,,,
6,4,11,14,,,,,,
9,29,7,15,,,,,,
81,126,6,103,,,,,,
326,435,35,359,,,,,,
865,815,59,903,,,,,,
1287,442,120,1096,,,,,,
547,204,239,521,,,,,,
345,194,351,369,,,,,,
406,276,438,405,,,,,,
448,281,401,478,,,,,,
511,296,507,477,,,,,,
464,365,484,474,,,,,,
565,621,459,577,,,,,,
905,1058,469,918,,,,,,
1671,794,361,1599,,,,,,
1363,448,215,1290,,,,,,
760,266,132,868,,,,,,
492,176,97,712,,,,,,
359,110,66,507,,,,,,
236,68,40,317,,,,,,
104,32,27,195,,,,,,
50,11,13,85,,,,,,
17,6,2,36,,,,,,
9,2,1,14,,,,,,
11,6,6,7,,,,,,
12,68,62,14,,,,,,
79,237,175,117,,,,,,
293,709,460,446,,,,,,
933,1061,839,1068,,,,,,
1306,496,432,1216,,,,,,
580,210,198,548,,,,,,
344,251,198,338,,,,,,
404,285,285,430,,,,,,
559,284,288,467,,,,,,
477,272,314,452,,,,,,
477,338,403,423,,,,,,
585,558,580,502,,,,,,
961,992,909,775,,,,,,
1673,767,735,1567,,,,,,
1459,463,282,1381,,,,,,
795,288,144,909,,,,,,
485,185,61,671,,,,,,
357,149,40,507,,,,,,
241,73,16,401,,,,,,
132,21,3,160,,,,,,
220,11,4,64,,,,,,
165,4,1,34,,,,,,
26,4,0,17,,,,,,
16,10,1,9,,,,,,
19,68,2,18,,,,,,
57,258,6,116,,,,,,
234,662,16,403,,,,,,
746,966,28,1040,,,,,,
1187,432,50,1250,,,,,,
674,197,75,594,,,,,,
431,229,93,283,,,,,,
541,291,71,438,,,,,,
544,265,80,592,,,,,,
662,279,67,469,,,,,,
681,342,99,499,,,,,,
743,539,141,579,,,,,,
1116,986,239,903,,,,,,
1504,825,252,1598,,,,,,
1139,502,156,1437,,,,,,
620,304,82,1039,,,,,,
435,217,59,750,,,,,,
319,127,40,536,,,,,,
226,71,18,367,,,,,,
166,40,8,172,,,,,,
149,17,3,74,,,,,,
77,7,3,35,,,,,,
60,0,0,19,,,,,,
26,8,3,9,,,,,,
10,58,29,17,,,,,,
21,170,118,115,,,,,,
39,462,246,398,,,,,,
133,759,434,974,,,,,,
297,325,250,1225,,,,,,
528,148,121,608,,,,,,
697,106,89,426,,,,,,
1013,155,105,452,,,,,,
1057,137,105,591,,,,,,
1189,135,77,589,,,,,,
1207,182,117,570,,,,,,
1207,285,237,685,,,,,,
1114,521,474,999,,,,,,
1003,434,409,1712,,,,,,
835,222,219,1472,,,,,,
521,156,139,970,,,,,,
372,126,99,703,,,,,,
272,62,51,565,,,,,,
252,41,23,436,,,,,,
240,19,6,199,,,,,,
149,10,9,99,,,,,,
116,1,8,41,,,,,,
69,1,2,21,,,,,,
41,6,4,11,,,,,,
19,36,38,17,,,,,,
12,121,148,108,,,,,,
29,321,336,344,,,,,,
102,621,644,810,,,,,,
196,338,314,1207,,,,,,
437,161,133,734,,,,,,
752,188,116,464,,,,,,
966,199,162,572,,,,,,
1020,198,176,632,,,,,,
1039,177,182,658,,,,,,
1069,259,235,588,,,,,,
960,365,396,747,,,,,,
1086,489,788,1069,,,,,,
953,414,624,1535,,,,,,
831,195,332,1119,,,,,,
529,143,200,729,,,,,,
361,111,169,454,,,,,,
262,85,111,249,,,,,,
175,59,46,117,,,,,,
80,43,27,140,,,,,,
30,44,7,115,,,,,,
16,22,6,102,,,,,,
10,11,4,71,,,,,,
5,6,9,43,,,,,,
17,3,50,14,,,,,,
87,4,147,37,,,,,,
302,11,377,41,,,,,,
790,20,767,165,,,,,,
1123,27,403,378,,,,,,
526,54,228,613,,,,,,
383,53,248,806,,,,,,
452,131,379,919,,,,,,
566,120,398,1070,,,,,,
555,223,372,1018,,,,,,
542,268,486,1095,,,,,,
557,295,636,1060,,,,,,
965,257,979,983,,,,,,
1643,195,665,1012,,,,,,
1360,148,366,884,,,,,,
723,118,216,816,,,,,,
538,112,169,690,,,,,,
373,79,146,530,,,,,,
217,75,122,442,,,,,,
125,64,66,289,,,,,,
49,56,38,218,,,,,,
21,44,42,150,,,,,,
12,29,17,144,,,,,,
6,6,8,63,,,,,,
10,9,7,20,,,,,,
107,6,30,22,,,,,,
368,38,70,39,,,,,,
1043,92,146,142,,,,,,
1325,131,260,265,,,,,,
619,246,423,539,,,,,,
371,310,567,752,,,,,,
417,379,731,987,,,,,,
550,337,863,970,,,,,,
549,199,956,853,,,,,,
493,229,1048,827,,,,,,
651,294,1018,851,,,,,,
891,214,848,754,,,,,,
1813,203,617,789,,,,,,
1503,162,218,714,,,,,,
845,75,145,655,,,,,,
566,102,89,588,,,,,,
410,58,23,413,,,,,,
232,30,15,260,,,,,,
135,14,24,146,,,,,,
50,7,16,64,,,,,,
25,2,19,18,,,,,,
9,1,4,9,,,,,,
6,10,5,11,,,,,,
11,51,4,124,,,,,,
119,171,5,381,,,,,,
356,500,26,817,,,,,,
1080,768,71,1001,,,,,,
1353,418,181,491,,,,,,
644,191,321,419,,,,,,
349,228,405,454,,,,,,
453,312,510,586,,,,,,
537,287,554,569,,,,,,
